Centers ROI,Top-Level ROI
Bin Width (nm),0.100
Maximum Distance (nm),10.000
Bin Count,100

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427465,3095,7366,2696
Bulk Concentration (ionic %),0.4331487266498264,35.20804493945069,64.2450028353566,0.026770679333450738,0.06371335184820619,0.023319467361222354
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.27759184979206,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,2659,280464,365925,158,489,150
0.100,18253,1863146,2470342,1108,2926,959
0.200,48685,4905132,6647673,3085,7687,2561
0.300,93296,9283898,12853896,5770,15156,5043
0.400,153499,14880764,21048148,9271,24166,8327
0.500,226008,21593590,31203377,13739,35646,11914
0.600,312879,29291224,43312777,19035,48677,16571
0.700,411783,37900030,57253138,25218,63762,21925
0.800,522837,47385100,73114036,31969,80045,27759
0.900,645344,57645894,90783219,39471,98605,34227
1.000,782980,68678034,110279394,47640,118590,41179
1.100,929388,80460996,131585979,56374,139815,49334
1.200,1088811,92949248,154608338,66680,163296,57045
1.300,1256418,106236310,179433294,76885,187081,66449
1.400,1439214,120235946,205992335,88083,213184,76434
1.500,1632632,135083510,234280506,99586,240097,86291
1.600,1836729,150698800,264311886,112053,269187,96742
1.700,2048571,167209170,296028628,125518,299825,107788
1.800,2273211,184524356,329501695,139128,332142,120245
1.900,2515413,202817760,364614004,154940,365579,133167
2.000,2765410,221967890,401461100,169768,400029,147000
2.100,3022502,242097222,439946841,185493,439929,160772
2.200,3296796,263202336,480065094,202656,478195,174332
2.300,3578853,285247060,521911373,219309,517765,190255
2.400,3871919,308221914,565328879,237663,560367,205242
2.500,4180767,332235520,610385315,256671,605511,220854
2.600,4495129,357167018,657063950,276081,651357,237709
2.700,4821831,383025194,705253215,295709,696677,253990
2.800,5163138,409786080,755001393,315845,747066,272157
2.900,5512073,437490974,806425101,337570,796904,290891
3.000,5878436,466119290,859300729,358976,849962,309777
3.100,6250712,495601478,913714669,381869,901418,329859
3.200,6628250,525952236,969639647,405279,958785,349050
3.300,7023785,557198302,1026992489,429403,1015737,369357
3.400,7425734,589252530,1085827940,454650,1076250,390714
3.500,7844829,622165750,1146184319,478272,1135675,412051
3.600,8263952,655839076,1207906084,505012,1198701,433862
3.700,8698099,690344512,1271083451,529461,1263541,457568
3.800,9141020,725731878,1335714119,556720,1326450,479503
3.900,9593238,761859100,1401765925,583933,1394348,502955
4.000,10058964,798658406,1469153967,611335,1461812,526117
4.100,10532612,836303668,1537971335,638640,1528271,551200
4.200,11012507,874867802,1608069169,669340,1600605,576029
4.300,11511609,913961984,1679534084,699689,1671107,601092
4.400,12003756,953837194,1752362851,729452,1744685,626396
4.500,12507981,994514750,1826514187,760183,1821881,652806
4.600,13021264,1035796400,1901921032,792359,1893636,679410
4.700,13559420,1077924758,1978741273,824378,1972551,707542
4.800,14092836,1120716896,2056706657,857924,2048659,734851
4.900,14638824,1164288600,2136030951,890013,2127419,762168
5.000,15188827,1208404784,2216508175,924343,2210495,788364
5.100,15741133,1253273660,2298209859,957124,2293889,817377
5.200,16316757,1298922220,2381290365,992771,2375964,847840
5.300,16899276,1345176726,2465445058,1029860,2459496,876586
5.400,17476973,1392058200,2550947205,1062002,2541282,905865
5.500,18078412,1439623258,2637521624,1098465,2630831,935229
5.600,18677032,1487838944,2725342279,1133400,2716283,966048
5.700,19285164,1536690316,2814214576,1168808,2809408,997987
5.800,19896507,1586142624,2904206035,1208126,2897483,1030211
5.900,20526250,1636234078,2995317511,1247315,2989980,1060793
6.000,21142833,1686753220,3087627395,1284145,3080009,1093802
6.100,21792326,1738070450,3180881922,1319848,3171805,1126802
6.200,22447675,1789892344,3275362499,1359468,3271319,1159908
6.300,23090758,1842271058,3370813237,1400395,3361876,1194113
6.400,23755548,1895158786,3467328497,1438052,3459640,1226253
6.500,24421637,1948790566,3564916228,1478596,3558840,1261343
6.600,25090081,2002574914,3663451462,1520582,3656088,1292679
6.700,25774442,2057022624,3763027445,1560686,3761303,1330786
6.800,26465526,2112213026,3863509678,1601778,3856525,1363892
6.900,27153496,2167734296,3965012160,1643931,3961751,1400720
7.000,27858595,2223883660,4067572297,1686813,4062215,1434881
7.100,28569960,2280446396,4171107180,1730524,4167187,1472095
7.200,29281399,2337462882,4275721503,1773290,4270823,1508224
7.300,29998802,2395252680,4381239066,1817139,4379804,1544033
7.400,30734680,2453596874,4487570002,1860021,4486556,1582001
7.500,31470819,2512234064,4594863412,1908618,4594477,1620159
7.600,32211101,2571232414,4703084735,1952043,4702473,1657409
7.700,32941655,2630991804,4812264453,1997299,4813330,1696091
7.800,33711434,2691196760,4922331960,2043692,4924441,1733456
7.900,34455208,2751778092,5033150449,2088287,5037428,1770672
8.000,35224582,2812867272,5144939560,2133647,5149497,1808982
8.100,35986046,2874229734,5257462906,2179400,5261912,1848283
8.200,36765592,2936287546,5370812482,2223909,5381075,1888909
8.300,37540357,2998640990,5485192191,2275840,5491321,1925439
8.400,38330245,3061777848,5600059179,2319397,5603099,1963326
8.500,39113198,3124838930,5716095797,2366454,5722199,2007219
8.600,39922702,3188526798,5832870856,2414036,5839415,2046179
8.700,40722670,3252679458,5950185399,2459320,5959076,2083294
8.800,41528906,3317191606,6068530480,2511305,6072681,2127361
8.900,42349376,3382322336,6187497463,2558658,6189393,2165133
9.000,43149564,3447600636,6307303970,2604836,6314439,2209308
9.100,43984410,3513238550,6427856288,2657344,6432984,2248677
9.200,44813348,3579410268,6548988028,2707322,6554053,2288073
9.300,45652457,3645847562,6670973421,2755270,6680453,2330740
9.400,46488996,3712674986,6793799996,2803153,6801797,2371754
9.500,47336643,3780111744,6917102330,2858126,6926143,2418088
9.600,48191821,3847728064,7041235900,2906122,7050602,2459700
9.700,49027539,3915768268,7166112398,2957775,7179737,2502273
9.800,49892818,3984264008,7291626959,3010640,7301315,2544371
9.900,50749139,4053215748,7417738159,3057761,7425098,2588222

,Concentration (ionic %)
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.4091744954566089,43.15859935830852,56.30958151559218,0.024313490139956453,0.07524871315467535,0.023082427348059924
0.100,0.4189606250920988,42.76474074386915,56.70169443440889,0.02543189462565307,0.0671604004283943,0.022011901575813442
0.200,0.4191626510365246,42.231655187513404,57.23438919387751,0.026560886894272946,0.06618267019652388,0.02204941048176111
0.300,0.41917487840599243,41.712150738334294,57.751996793466745,0.025924359548132575,0.06809525014064077,0.02265798010419975
0.400,0.4249204307087982,41.1933670457526,58.26610019467573,0.025664253924138063,0.0668970294823342,0.023051045456401426
0.500,0.42575320894470553,40.67794164426173,58.78083026999672,0.025881487990209683,0.06714983047521757,0.022443558331418454
0.600,0.4285945417061369,40.12432514260081,59.33162599067086,0.026074927052874487,0.0666797596087613,0.022699638360555982
0.700,0.4303938498339644,39.61295104587306,59.840737667400646,0.026357746932517648,0.06664377269851654,0.022915917261299445
0.800,0.43151986271310416,39.10896100820469,60.344158460707554,0.026385390649619728,0.06606458114263226,0.02291069658240151
0.900,0.4324006765708013,38.62455305562412,60.8275978654411,0.026446805277380893,0.06606843592450516,0.02293316116209156
1.000,0.43511503115372613,38.1655277318535,61.28409660007157,0.02647434172541254,0.06590243881647088,0.022883856379319122
1.100,0.435878331926958,37.7358054135212,61.713167193352746,0.026439124546529903,0.06557253695804942,0.023137399694513536
1.200,0.4373904511285825,37.33899961956896,62.10830962036604,0.026786279052336798,0.06559826370921401,0.022915766174873314
1.300,0.4373854988669931,36.983091174385066,62.46449892435309,0.026765283592235043,0.06512682603523347,0.0231322927673854
1.400,0.43872430309877186,36.652250197866024,62.7938886201522,0.026850873316858447,0.06498616733286958,0.023299838233265882
1.500,0.43956180999659195,36.369219858665474,63.07653118662223,0.026812044851699957,0.06464253542424242,0.023232564439761023
1.600,0.4401191523936896,36.11062280975917,63.33472343165351,0.02685027098889934,0.06450290395338676,0.023181431251355165
1.700,0.43977785386829016,35.895699943862375,63.550072077274564,0.026945630228017506,0.06436505985687589,0.02313943490987389
1.800,0.43978556034479216,35.69890665702476,63.74687064691038,0.02691632472289209,0.06425767585324897,0.02326313514392616
1.900,0.44083582116839526,35.54459398004801,63.900009208363215,0.027153832047393873,0.06406912847588876,0.02333802989709113
2.000,0.4411167025303585,35.40659204400843,64.037953369016,0.02708007143793286,0.06380951591138992,0.023448297095896343
2.100,0.44069254812168807,35.29871664480685,64.1459606638398,0.027045600905718597,0.06414335937664428,0.023441182949298305
2.200,0.44109049889551366,35.21481150083433,64.22967991188465,0.02711409384874564,0.06397947313674858,0.023324521400005547
2.300,0.4409275621803471,35.143463781527544,64.30135838803321,0.027019657620530862,0.06379051032057127,0.02344010031778951
2.400,0.4407791971691038,35.087977770930785,64.35703056343107,0.02705555212720119,0.06379217033725633,0.023364746004599063
2.500,0.4410628500975875,35.05020618342377,64.39447275861433,0.027078295154309692,0.0638802419329851,0.023299670777025504
2.600,0.44074591545370695,35.02010828127082,64.42490352432127,0.027069650967608466,0.06386533895961165,0.023307289026985704
2.700,0.44061277565096435,35.00035440325243,64.44514056961272,0.027021511802253335,0.06366145696566032,0.023209282715961725
2.800,0.44080945345529154,34.98600617655123,64.45920124666699,0.02696566735705816,0.0637817070074499,0.023235748961974632
2.900,0.4406649493896413,34.975396355624255,64.46998730218219,0.026987172877692513,0.06370881895584524,0.023255400970361266
3.000,0.4410534417109887,34.97248538597383,64.47251343558247,0.026933626612868442,0.06377183751316769,0.02324227260667718
3.100,0.44106690596442616,34.9709617868903,64.4741434240035,0.026945694876636367,0.06360645767084472,0.023275730594293845
3.200,0.4407276728020894,34.971780632495054,64.47358278262732,0.026947938068956064,0.06375183219817468,0.02320914180840634
3.300,0.4409075213406354,34.97728393309744,64.46790623010808,0.02695512638644731,0.06376135986565262,0.023185829201749917
3.400,0.4408460796388961,34.98235565235719,64.46271715514972,0.026991361407212283,0.06389410032885126,0.02319565111812942
3.500,0.441161669939121,34.98810251299623,64.45680182806714,0.02689609604047753,0.06386579994390078,0.023172093013128107
3.600,0.4409447807539731,34.99400983654168,64.45098947583071,0.02694623657278327,0.06395982813484012,0.02314984216600971
