Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4088163

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50330,4088163,7380469,3225,7449,1836
Bulk Concentration (ionic %),0.43645772196298965,35.452221537718685,64.0028350240108,0.027966941254334222,0.06459713035768547,0.01592164469549074
Bulk Density (ions/nm^3),0.13100902720656374,10.641491311183533,19.21136626302802,0.008394677384088377,0.01938975250668971,0.004779109357267057

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,21152,1837764,2970468,1365,3228,776
0.200,144750,12283018,20437020,9135,21889,5063
0.400,386848,32217656,54889518,24661,57760,13636
0.600,743516,61016364,105965737,46881,110654,26411
0.800,1210327,98486112,173323818,76818,179172,43018
1.000,1789411,144652614,256866054,114046,262916,63481
1.200,2474388,199508430,356320456,157502,361703,88958
1.400,3271356,263069760,471379880,208111,478503,117153
1.600,4167552,335123128,601729199,265057,609401,148021
1.800,5171196,415448778,746954840,330281,758132,184076
2.000,6273129,503907450,906894351,400674,921280,224822
2.200,7473081,600254732,1081172687,476804,1096527,266298
2.400,8767894,704299526,1269548248,561803,1287579,313975
2.600,10164691,815982450,1471668801,649656,1492647,362249
2.800,11641211,935091954,1687282096,743517,1709509,414955
3.000,13213432,1061347304,1916226135,846627,1943280,471473
3.200,14872618,1195154584,2158155994,951463,2187873,531982
3.400,16621422,1335975946,2412847692,1067377,2446017,591063
3.600,18454002,1483709668,2679839571,1184638,2715955,656602
3.800,20360503,1638185538,2959177826,1308980,2995935,722984
4.000,22364302,1799500308,3250354579,1436604,3293414,794661
4.200,24436154,1966876800,3553335080,1571837,3598537,865754
4.400,26592604,2140691326,3867664472,1709393,3920643,942174
4.600,28799655,2320758686,4193193430,1852602,4246842,1019761
4.800,31113301,2506901030,4529727186,2001896,4591453,1101517
5.000,33475059,2698755522,4876796184,2155162,4940743,1183701
5.200,35919699,2896616980,5234408271,2312708,5304508,1271760
5.400,38428987,3099902854,5602136427,2473201,5677240,1357439
5.600,41012457,3308920892,5979852809,2642345,6064434,1449512
5.800,43644948,3523005472,6367347827,2811166,6457253,1541775
6.000,46348693,3742457760,6764230086,2984880,6859255,1638077
6.200,49101731,3966842182,7170655299,3160881,7274912,1736395
6.400,51941331,4196310242,7586197264,3343452,7687511,1834112
6.600,54820277,4430774552,8010704387,3530849,8121299,1935590
6.800,57764519,4669977492,8443781040,3723839,8559884,2039936
7.000,60746474,4914068004,8885714299,3918901,9006372,2145289
7.200,63808200,5162358062,9336012909,4113913,9471195,2252487
7.400,66927226,5415562724,9794257307,4315045,9933593,2362073
7.600,70095725,5673032036,10260370497,4519890,10410686,2471925
7.800,73279223,5934418438,10734645541,4728184,10889735,2586203
8.000,76558810,6199786418,11216061512,4940465,11379603,2702977
8.200,79853143,6469705798,11705235810,5150437,11875855,2815752
8.400,83230501,6743563732,12201254220,5377145,12382060,2931640
8.600,86617576,7020907484,12704778330,5597303,12888441,3050235
8.800,90088220,7302649384,13215006509,5822737,13412575,3171664
9.000,93561967,7587961974,13732417017,6046869,13941948,3297976
9.200,97123638,7877562790,14256170802,6276391,14471506,3419151
9.400,100700384,8169890244,14786596601,6510702,15014866,3548173
9.600,104332895,8466004440,15322827766,6747146,15556853,3673042
9.800,108010471,8765516880,15865357491,6988679,16110632,3802012

,Concentration (ionic %)
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,0.43749908216614164,38.01153854188621,61.439912235433745,0.028233086571330532,0.0667665959357179,0.01605045800685164
0.200,0.43995790385514066,37.3334083060101,62.116949777171584,0.027765219010132708,0.06653014547485439,0.015388648478193968
0.400,0.44165732514067035,36.78231184150433,62.6663643036559,0.02815501513590369,0.06594354139125734,0.0155679731719388
0.600,0.4428074177049702,36.338826038157215,63.10881590466649,0.027920387119344713,0.06590095169266803,0.01572930065930789
0.800,0.4428253529805153,36.03335900965488,63.414416835929956,0.028105592922621096,0.06555410574516217,0.01573910276686863
1.000,0.4431993933094819,35.82740397003856,63.62030818777833,0.02824679070899484,0.06511875231087534,0.015722905853758146
1.200,0.44271557821064955,35.6958932654656,63.752579104943244,0.02818013545140605,0.06471561969486053,0.015916296234245786
1.400,0.44295820044154705,35.62098025411776,63.82722741552811,0.028179285303125304,0.06479173400445612,0.015863110604999443
