Distance (nm),"Cr (10h, bulk normalized concentration ionic percent)","Cr (100h, bulk normalized concentration ionic percent)"
0.0,1.072190596051776,1.2160799891638152
0.2,1.0530625920378491,1.1897940895412178
0.4,1.037517826700099,1.161288252393908
0.6,1.0250084328141538,1.1313974460254543
0.8,1.016392131345504,1.1032027146016912
1.0,1.0105827622655663,1.0773814092769334
1.2,1.0068732428371991,1.055109104446899
1.4,1.0047601732438551,1.0367503074785225
1.6,1.0034379353428209,1.0224155229060603
1.8,1.002573571824738,1.0116418969270913
2.0,1.0019377137334853,1.0040381448809934
2.2,1.0014177324685598,0.9991368634770444
2.4,1.0009255604861793,0.996032682412902
2.6,1.0005735425486195,0.9943713765682328
2.8,1.0002762687719948,0.993537758080166
3.0,0.9998970142643928,0.9932870632843483
3.2,0.9997969309230476,0.9933698182836304
3.4,0.9996908836224292,0.9936735292121897
3.6,0.9996503149494468,0.994017361914859
3.8,0.999583456911129,0.994467857978244
4.0,0.9996263152489552,0.9947988465771844
4.2,0.999510099623515,0.9952919536176196
4.4,0.9994575045692544,0.995636961235564
4.6,0.9994332297719634,0.9959659978154408
4.8,0.9994026663884932,0.9963331044106276
5.0,0.9993524143492952,0.9966485803862272
5.2,0.9993452591546916,0.9969858380725996
5.4,0.9993043094457992,0.9972513304059464
5.6,0.9993065400263628,0.9975160745001288
5.8,0.999248353110498,0.9977793486314384
6.0,0.9992260197588276,0.9979527636204
6.2,0.9991509110413952,0.9981291311599017
6.4,0.9990891408338756,0.9982647017475348
6.6,0.9990398526444552,0.9982899853651358
6.8,0.9989949900981362,0.9983776386075958
7.0,0.998955073027732,0.9983983385333736
7.2,0.9988636850954008,0.998358064101485
7.4,0.9988431180216252,0.998423453115027
7.6,0.9988145296245944,0.9983867282182992
7.8,0.9987263635811899,0.9984010711016787
8.0,0.9986462298018424,0.9983770642563488
8.2,0.9986017513884392,0.9983603015326236
8.4,0.9985728954751972,0.9983752544992452
8.6,0.9984883548179924,0.998307942118146
8.8,0.9984690021761448,0.9982853869327012
9.0,0.9984195339797974,0.9982324547381948
9.2,0.9984362641463582,0.9981813768731638
9.4,0.9983766628303526,0.998113178375966
9.6,0.9983652076529992,0.9980640361359082
9.8,0.998348011223315,0.998037803961138
